id,numberOfRefs,buildTools,projectUrls,projectNames,revisionCommit,numberOfASTs,stars
3724048,1,maven|android,https://github.com/openplans/cebu-taxi,openplans/cebu-taxi,2fef578260e080df4ef75b5d10b8812e4e9e12b5,251,15
11003830,2,sbt,https://github.com/nraychaudhuri/playconf,nraychaudhuri/playconf,4a6cc3d278a9e90c352e61d52f4c98dd2983600e,115,7
2340549,5,sbt,https://github.com/playframework/playframework,playframework/playframework,6358017bbdf0090836d8326f5502d05dc961c0bf,1907,9505
4096100,1,,https://github.com/MasterXval/Cissonius-Tools,MasterXval/Cissonius-Tools,c940ce50126a20b4d488b823608b44228777622c,47,1
7205516,10,ant,https://github.com/cpoliwoda/akka-tutorial,cpoliwoda/akka-tutorial,ea38e9add73e949b2c3ed5bd1fc1d8423cb0b3a9,1382,0
4694541,2,sbt|idea,https://github.com/mslinn/AwsMirror,mslinn/AwsMirror,339ea6cac96e0ecf42652d530a89554d4ce1cfd9,381,4
11647422,1,gradle,https://github.com/noel-yap/setter-for-catan,noel-yap/setter-for-catan,685b614bdaeee3c19fab0f9fd7ab9e2ff3c90e04,43,0
13488316,1,sbt,https://github.com/janaz/play2_tutorial_app,janaz/play2_tutorial_app,75f012e627dbb6919ed14fafc8928c48df114c29,418,0
3886656,2,maven,https://github.com/cexbrayat/akka-gameoflife,cexbrayat/akka-gameoflife,f7fef18d67402f418144b53ce3034154cbc264fd,394,1
2743139,2,sbt|idea|maven,https://github.com/lroza/mgr,lroza/mgr,31e3e4443d5cbd0050da9bb1dba1de38ff379aef,164,2
12752931,16,eclipse|maven,https://github.com/aaaajl/Photon,aaaajl/Photon,cf4d80055da7bcd037189710ebd4d529cedaea38,1009,-1
11104532,8,maven,https://github.com/USGS-CIDA/nude,USGS-CIDA/nude,0d1c54b075ccc3840454caae440fda43137ffde5,884,0
11174183,1,maven,https://github.com/encontra/encontra-index,encontra/encontra-index,190bf8b5b216b175afa4b924565550fddc10e2d6,674,0
1583693,5,maven,https://github.com/zcox/akka-zeromq-java,zcox/akka-zeromq-java,30fb75e4e9f2a5d7052a79718d8b5279e603f6d5,249,45
9477136,4,maven,https://github.com/dmalaescu/Akka-Spring-Jetty-WebSockets,dmalaescu/Akka-Spring-Jetty-WebSockets,21e95690b2cc9d1e386568aa7d83cca66dcc6482,431,0
8658042,1,maven,https://github.com/eivindw/akka-cluster-example,eivindw/akka-cluster-example,b92af490f114f8cc676b16809545422efffbf4d0,145,6
3551857,3,eclipse|maven|ant,https://github.com/AlFranzis/Playground,AlFranzis/Playground,e66e2d90eb4008fbea681c4273b22112db5ca829,126,1
6456864,1,ant,https://github.com/cpoliwoda/akka-test,cpoliwoda/akka-test,953cac7d5b1d3612d04824a13e3fc8e126f9ed47,60,1
1647934,3,maven,https://github.com/jcalvert/akka-untyped-proxy,jcalvert/akka-untyped-proxy,c3d6e7db3aa822b4b3631c0779326016278015f9,135,1
8836560,14,eclipse|maven,https://github.com/skunkiferous/PingPong,skunkiferous/PingPong,611b4fb3339112d7863763639e4629b5f2916951,2830,3
7779094,1,maven,https://github.com/gordonad/concurrency-samples,gordonad/concurrency-samples,46b7351214ac8105bc5dfc439a3fa4e68b82bd00,111,0
12320992,2,maven,https://github.com/dpogretskiy/actorstesttask,dpogretskiy/actorstesttask,101cde58bade39629e1fd8f9446bfc2fa4d1c599,540,-1
6405952,8,,https://github.com/tferega/selenate,tferega/selenate,a2e8ac475dd9166ddb753dbb9a63be158a3db5e3,1173,0
10292966,1,,https://github.com/btab/skeleton_play_project,btab/skeleton_play_project,1f7cb39e1706bd2e8b2652545721eaf78a7df1b6,43,0
12560270,2,maven|ant|eclipse,https://github.com/BaiFuZhang/ZHBao,BaiFuZhang/ZHBao,9186f7f8e509bb308e6f508571e0a80876404d21,87,-1
7205833,18,maven,https://github.com/catify/bpmn-engine,catify/bpmn-engine,bd29f94b7f038a9e458287a5e8a4860b6d8d387d,1062,13
10191532,4,sbt,https://github.com/typesafehub/activator-akka-java-spring,typesafehub/activator-akka-java-spring,7c7fef64548598aa8a42fc16a1383bb76ab76e0b,350,75
8471005,1,maven,https://github.com/jetnep/akka-project-in-java,jetnep/akka-project-in-java,1f0484565aea085ff667f6e40281e28b29a14348,85,0
6566128,4,maven,https://github.com/tombray/futures,tombray/futures,dec9c77a2abe41cb214c0539db9089f266e8d147,93,-1
9813937,8,gradle|maven,https://github.com/emacadie/java-concurrency,emacadie/java-concurrency,94cf4f831045e40d3d90b2650fa50ca75b39ac70,1392,1
6923009,6,,https://github.com/ukwa/monitrix,ukwa/monitrix,87168cfd5d7cd652ff7891d97a1545206ffd5fd3,1212,10
3445591,1,sbt|maven,https://github.com/typesafehub/akka-java-maven.g8,typesafehub/akka-java-maven.g8,a9d2bc63ebbb4b56db49271f4b804a93b597b8e5,85,3
8670172,1,maven,https://github.com/idrabenia/tic-tac-toe-prototype,idrabenia/tic-tac-toe-prototype,234ff6790e5d40575574e2c847295f67b35f6cbe,259,0
13645429,2,maven,https://github.com/snovgorodtsev/tribe,snovgorodtsev/tribe,ca21add3ea98ffa8d8fec24ced8258ec1db11701,419,-1
8063886,1,maven,https://github.com/destroyerdust/Akka-Core-1.2,destroyerdust/Akka-Core-1.2,ccefec0268deaecfe0d21f017951795c728c6436,402,-1
9218860,1,,https://github.com/chanan/Play2JavaRabbitMQ,chanan/Play2JavaRabbitMQ,51077f2133ebb09b354b86f9a462363b909e50f2,86,4
